Experiment	bias spectroscopy	
Date	14.10.2024 17:43:53	
User		
X (m)	88.2408E-9	
Y (m)	134.942E-9	
Z (m)	-115.439E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	50E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Comment01	GBN_229, on graphene,  Vgset=0V, setpoint 20pA, 500mV bias, 20mV sens, 10ms Tc, 10mV osc.	
Bias>Bias (V)	1E+0	
Bias>Calibration (V/V)	-1E+0	
Bias>Offset (V)	-13.22E-3	
Bias Spectroscopy>Sweep Start (V)	1E+0	
Bias Spectroscopy>Sweep End (V)	-1E+0	
Bias Spectroscopy>Num Pixel	256	
Bias Spectroscopy>Z Avg time (s)	200E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	1E+0	
Bias Spectroscopy>Settling time (s)	200E-6	
Bias Spectroscopy>Integration time (s)	50E-3	
Bias Spectroscopy>End Settling time (s)	5E-3	
Bias Spectroscopy>Z control time (s)	15E-3	
Bias Spectroscopy>Max Slew rate (V/s)	1E+0	
Bias Spectroscopy>backward sweep	FALSE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A);LI X (V);LI Y (V)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	
Bias Spectroscopy>Sweep mode	Linear	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	-1E+0,1E+0,100E-6,100E-6,256	
Current>Current (A)	263.249E-12	
Current>Calibration (A/V)	333.33E-12	
Current>Offset (A)	-540.567E-15	
Current>Gain	High	
NanonisMain>Session Path	C:\Data\Projects\F4-TCNQ on graphene devices\Device ZC XX	
NanonisMain>SW Version	Generic 4	
NanonisMain>UI Release	8987	
NanonisMain>RT Release	8987	
NanonisMain>RT Frequency (Hz)	10E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Scan>Scanfield	96.7388E-9;125.478E-9;30E-9;30E-9;0E+0	
Scan>series name	Image1.31_	
Scan>channels	Current (A);LI X (V);LI Y (V);I_drain (A);Bias (V);V_source (V);Z (m);Amplitude (m);Frequency Shift (Hz)	
Scan>pixels/line	256	
Scan>lines	256	
Scan>speed forw. (m/s)	78.125E-9	
Scan>speed backw. (m/s)	78.125E-9	
Z-Controller>Z (m)	-115.381E-9	
Z-Controller>Controller name	log current w/ AFM Safetip	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	100E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	30E-12	
Z-Controller>I gain	30E-9	
Z-Controller>Time const (s)	1E-3	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current (A)	LI X (V)	LI Y (V)
1.00000E+0	107.678E-12	-133.000E-6	177.911E-3
992.157E-3	109.029E-12	-136.052E-6	173.942E-3
984.314E-3	106.087E-12	-138.585E-6	193.940E-3
976.471E-3	109.620E-12	-150.456E-6	187.256E-3
968.627E-3	104.984E-12	-148.564E-6	187.446E-3
960.784E-3	109.022E-12	-139.988E-6	192.015E-3
952.941E-3	103.762E-12	-129.154E-6	172.209E-3
945.098E-3	108.209E-12	-128.513E-6	199.478E-3
937.255E-3	102.975E-12	-135.929E-6	165.415E-3
929.412E-3	106.700E-12	-136.753E-6	177.791E-3
921.569E-3	103.496E-12	-138.157E-6	195.671E-3
913.725E-3	104.226E-12	-138.585E-6	174.785E-3
905.882E-3	104.401E-12	-139.592E-6	184.336E-3
898.039E-3	102.322E-12	-144.627E-6	212.986E-3
890.196E-3	103.070E-12	-145.695E-6	176.654E-3
882.353E-3	104.132E-12	-136.937E-6	180.003E-3
874.510E-3	101.434E-12	-142.186E-6	176.196E-3
866.667E-3	103.521E-12	-142.705E-6	222.898E-3
858.824E-3	100.940E-12	-140.141E-6	209.935E-3
850.980E-3	101.288E-12	-143.559E-6	181.612E-3
843.137E-3	100.029E-12	-147.557E-6	196.369E-3
835.294E-3	99.9537E-12	-133.976E-6	222.257E-3
827.451E-3	100.252E-12	-131.352E-6	228.004E-3
819.608E-3	98.6949E-12	-144.841E-6	213.257E-3
811.765E-3	99.4230E-12	-146.001E-6	236.513E-3
803.922E-3	97.5959E-12	-144.383E-6	225.174E-3
796.078E-3	97.4128E-12	-141.240E-6	176.935E-3
788.235E-3	97.0509E-12	-132.359E-6	191.993E-3
780.392E-3	96.7177E-12	-128.758E-6	206.016E-3
772.549E-3	96.1743E-12	-135.807E-6	222.692E-3
764.706E-3	94.6754E-12	-136.692E-6	212.243E-3
756.863E-3	95.4401E-12	-142.582E-6	221.418E-3
749.020E-3	93.3088E-12	-144.841E-6	207.914E-3
741.176E-3	94.5080E-12	-146.733E-6	213.818E-3
733.333E-3	92.9255E-12	-140.782E-6	250.666E-3
725.490E-3	91.6645E-12	-139.348E-6	222.682E-3
717.647E-3	93.6966E-12	-136.540E-6	231.757E-3
709.804E-3	90.0912E-12	-141.545E-6	270.907E-3
701.961E-3	91.3343E-12	-147.130E-6	244.458E-3
694.118E-3	89.7355E-12	-148.015E-6	241.074E-3
686.275E-3	90.0888E-12	-137.028E-6	236.441E-3
678.431E-3	89.0696E-12	-132.359E-6	204.324E-3
670.588E-3	88.5993E-12	-133.976E-6	220.950E-3
662.745E-3	88.0363E-12	-137.608E-6	220.754E-3
654.902E-3	87.2969E-12	-138.676E-6	206.440E-3
647.059E-3	86.6888E-12	-140.172E-6	221.808E-3
639.216E-3	86.9341E-12	-145.604E-6	222.223E-3
631.373E-3	84.7556E-12	-154.210E-6	191.955E-3
623.529E-3	85.1846E-12	-146.489E-6	223.890E-3
615.686E-3	84.0765E-12	-142.155E-6	208.571E-3
607.843E-3	82.7907E-12	-138.646E-6	216.700E-3
600.000E-3	83.7904E-12	-146.123E-6	222.262E-3
